employee_id,full_name,email,department,title,hire_date,term_date,employment_type,status
E00651,Raymond Hudson,raymond.hudson@meridian-energy.com,Operations,Archivist,2012-04-09,,FTE,active
E00001,Rachel Thompson,rachel.thompson@meridian-energy.com,Field Services,"Biochemist, clinical",2020-11-15,,FTE,active
E00151,Emily Patel,emily.patel@meridian-energy.com,Operations,"Designer, graphic",2022-09-15,,FTE,active
E01109,David Sanchez,david.sanchez@meridian-energy.com,Sales & Key Accounts,Retail manager,2025-01-02,,FTE,active
E00334,Mary Cardenas,mary.cardenas@meridian-energy.com,Operations,"Education officer, community",2022-02-02,,FTE,active
E00261,Sean Lopez,sean.lopez@meridian-energy.com,Field Services,Clinical research associate,2012-11-04,,FTE,active
E00160,Brandon Moore,brandon.moore@meridian-energy.com,Engineering,"Psychologist, counselling",2019-05-01,,FTE,active
E00995,James Young,james.young@meridian-energy.com,Operations,Geochemist,2015-01-21,,FTE,active
E00005,Mary Smith,mary.smith@meridian-energy.com,Customer Care,Musician,2022-04-15,,FTE,active
E00009,David Schaefer,david.schaefer@meridian-energy.com,Finance & Accounting,Actuary,2012-05-07,,FTE,active
E00161,Anthony Lopez,anthony.lopez@meridian-energy.com,Operations,Land,2026-05-26,,FTE,active
E00875,Lisa Estrada,lisa.estrada@meridian-energy.com,Operations,Curator,2015-02-21,,FTE,active
E00209,James Elliott,james.elliott@meridian-energy.com,Field Services,Landscape architect,2022-06-07,,Contractor,active
E00966,Anthony Warren,anthony.warren@meridian-energy.com,Field Services,Insurance account manager,2019-12-18,,Contractor,active
E00104,Matthew Patel,matthew.patel@meridian-energy.com,Engineering,Publishing rights manager,2020-03-05,,FTE,active
E00954,Justin Smith,justin.smith@meridian-energy.com,Field Services,Economist,2015-11-09,,FTE,active
E00506,Troy Anthony,troy.anthony@meridian-energy.com,Operations,Air traffic controller,2013-09-05,,FTE,active
E00239,Maurice Owens,maurice.owens@meridian-energy.com,Customer Care,Garment/textile technologist,2026-06-14,,FTE,active
E00816,Angela Payne,angela.payne@meridian-energy.com,Field Services,Magazine journalist,2020-10-05,,FTE,active
E00455,Sharon Harris,sharon.harris@meridian-energy.com,Operations,Musician,2020-03-09,,FTE,active
E00856,Aaron Tyler,aaron.tyler@meridian-energy.com,Legal & Compliance,Control and instrumentation engineer,2019-09-13,,FTE,active
E00814,Kelly Rodriguez,kelly.rodriguez@meridian-energy.com,Operations,Midwife,2012-10-07,,FTE,active
E00110,Dana Bailey,dana.bailey@meridian-energy.com,Operations,Airline pilot,2023-11-07,,FTE,active
E01099,Donald Kelly,donald.kelly@meridian-energy.com,Procurement,Newspaper journalist,2014-11-02,,FTE,active
E00175,Joseph Bright,joseph.bright@meridian-energy.com,Field Services,"Programmer, systems",2017-03-12,,FTE,active
E00754,Holly Poole,holly.poole@meridian-energy.com,Customer Care,Actor,2016-08-15,,FTE,active
E00392,Andrea Ray,andrea.ray@meridian-energy.com,Engineering,Chartered legal executive (England and W,2018-01-02,,FTE,active
E00078,Cameron Torres,cameron.torres@meridian-energy.com,Customer Care,Production manager,2014-03-27,,FTE,active
E00642,Katelyn Martinez,katelyn.martinez@meridian-energy.com,Operations,"Engineer, electronics",2024-01-17,,FTE,active
E00590,Kevin Baker,kevin.baker@meridian-energy.com,Operations,Consulting civil engineer,2016-07-09,,FTE,active
E00796,Maria Woods,maria.woods@meridian-energy.com,Field Services,Chief Technology Officer,2021-03-08,,Contractor,active
E00448,Joseph Dixon,joseph.dixon@meridian-energy.com,Operations,Water engineer,2016-10-19,,FTE,active
E00805,Benjamin Morales,benjamin.morales@meridian-energy.com,Operations,Building surveyor,2012-10-03,,FTE,active
E00091,Anna Mcpherson,anna.mcpherson@meridian-energy.com,Field Services,Naval architect,2016-02-11,,Contractor,active
E01026,Jesus Johnson,jesus.johnson@meridian-energy.com,Operations,Radio broadcast assistant,2016-04-01,,FTE,active
E01003,Amber Chavez,amber.chavez@meridian-energy.com,Operations,Education administrator,2016-06-13,,FTE,active
E00650,Deborah Brown,deborah.brown@meridian-energy.com,Information Technology,Make,2025-02-08,,FTE,active
E00550,Seth Washington,seth.washington@meridian-energy.com,Operations,Art therapist,2017-12-27,,FTE,active
E00956,Victoria Ward,victoria.ward@meridian-energy.com,Customer Care,"Engineer, maintenance",2024-11-26,,FTE,active
E00913,Tonya Smith,tonya.smith@meridian-energy.com,Operations,Transport planner,2018-10-13,,FTE,active
E01074,John Bennett,john.bennett@meridian-energy.com,Operations,Comptroller,2019-03-14,,FTE,active
E00479,Kevin Alvarez,kevin.alvarez@meridian-energy.com,Operations,"Runner, broadcasting/film/video",2013-05-18,,FTE,active
E00555,Matthew Mcknight,matthew.mcknight@meridian-energy.com,Customer Care,Museum/gallery conservator,2023-08-30,,FTE,active
E00809,Stacey Collins,stacey.collins@meridian-energy.com,Field Services,"Administrator, Civil Service",2024-09-06,,FTE,active
E00663,Brandon Estes,brandon.estes@meridian-energy.com,Field Services,Veterinary surgeon,2018-02-22,,FTE,active
E00779,Daniel DDS,daniel.dds@meridian-energy.com,Operations,Environmental education officer,2014-07-03,,FTE,active
E00087,Nicholas Gonzales,nicholas.gonzales@meridian-energy.com,Operations,"Therapist, nutritional",2019-02-20,,FTE,active
E00712,Brandon Kaufman,brandon.kaufman@meridian-energy.com,Operations,"Secretary, company",2022-06-09,,FTE,active
E01034,Jasmine Ortiz,jasmine.ortiz@meridian-energy.com,Field Services,Fast food restaurant manager,2019-07-19,,FTE,active
